phase,epoch,train_loss,val_loss,val_acc,val_f1,best
2,1,0.1759,0.0956,0.9655,0.9760,True
2,2,0.0873,0.2675,0.8744,0.9057,False
2,3,0.0462,0.0826,0.9636,0.9745,False
2,4,0.0384,0.1452,0.9348,0.9532,False
2,5,0.0357,0.1577,0.9415,0.9582,False
2,6,0.0376,0.0982,0.9607,0.9724,False
3,1,0.2872,0.4357,0.8630,0.8984,False
3,2,0.2532,0.4457,0.8563,0.8926,False
3,3,0.2337,0.4240,0.8458,0.8838,False
3,4,0.2237,0.4662,0.8343,0.8740,False
3,5,0.2203,0.3564,0.9330,0.9527,True
3,6,0.2182,0.4677,0.8467,0.8846,False
3,7,0.2211,0.3866,0.9176,0.9412,False
3,8,0.2148,0.3806,0.9128,0.9375,False
3,9,0.2156,0.3848,0.9205,0.9433,False
